run_name,game_name,seed,config,alg,base_game_name,information_policy,activity_policy,undersell_policy,tiebreaking_policy,grace_rounds,clock_speed,value_structure,rule,rho,n_types,deviations,no_error,t,walltime,nash_conv,rewards,nash_conv_frac,heuristic_conv,heuristic_conv_frac,rewards_0,nc_player_improvements_0,nc_player_improvements_frac_0,hc_player_improvements_0,hc_player_improvements_frac_0,rewards_1,nc_player_improvements_1,nc_player_improvements_frac_1,hc_player_improvements_1,hc_player_improvements_frac_1,total_entropy,avg_entropy,avg_mode_probabilities,p0_expected_exposure,p0_exposure_frac,p0_utility,p0_payment,p0_total_entropies,p0_avg_entropies,p0_avg_mode_probabilities,p1_expected_exposure,p1_exposure_frac,p1_utility,p1_payment,p1_total_entropies,p1_avg_entropies,p1_avg_mode_probabilities,exposure_frac,total_welfare,total_revenue,auction_lengths,num_lotteries,p_lottery,unsold_activity,unsold_licenses,common_allocations,unsold,straightforward_total_entropy,straightforward_avg_entropy,straightforward_avg_mode_probabilities,straightforward_p0_expected_exposure,straightforward_p0_exposure_frac,straightforward_p0_utility,straightforward_p0_payment,straightforward_p0_total_entropies,straightforward_p0_avg_entropies,straightforward_p0_avg_mode_probabilities,straightforward_p1_expected_exposure,straightforward_p1_exposure_frac,straightforward_p1_utility,straightforward_p1_payment,straightforward_p1_total_entropies,straightforward_p1_avg_entropies,straightforward_p1_avg_mode_probabilities,straightforward_exposure_frac,straightforward_total_welfare,straightforward_total_revenue,straightforward_auction_lengths,straightforward_num_lotteries,straightforward_p_lottery,straightforward_unsold_activity,straightforward_unsold_licenses,straightforward_common_allocations,straightforward_unsold,straightforward_nash_conv,rho_0_nash_conv
jan19_jan19_8_base_dev1000_rho1_t2_tie_break-cfr_port_10_extexternal_plus_linear_no_trem-100,jan19/jan19_8_base_dev1000_rho1_t2_tie_break.json,100,cfr_port_10_extexternal_plus_linear_no_trem,cfr_external_linear,jan19_8_base,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_LICENSE,1,0.05,quasi_linear,tie_break,1.0,2,1000,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jan19_jan19_8_base_dev1000_rho1_t2_tie_break-cfr_port_10_extexternal_plus_linear_no_trem-101,jan19/jan19_8_base_dev1000_rho1_t2_tie_break.json,101,cfr_port_10_extexternal_plus_linear_no_trem,cfr_external_linear,jan19_8_base,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_LICENSE,1,0.05,quasi_linear,tie_break,1.0,2,1000,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jan19_jan19_10_base_dev1000_rho1_t3-cfr_port_10_extexternal_plus_linear-102,jan19/jan19_10_base_dev1000_rho1_t3.json,102,cfr_port_10_extexternal_plus_linear,cfr_external_linear,jan19_10_base,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.05,quasi_linear,base,1.0,3,1000,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jan19_jan19_10_base_dev1000_rho1_t3-cfr_port_10_extexternal_plus_linear-101,jan19/jan19_10_base_dev1000_rho1_t3.json,101,cfr_port_10_extexternal_plus_linear,cfr_external_linear,jan19_10_base,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.05,quasi_linear,base,1.0,3,1000,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jan19_jan19_9_base_dev1000_rho0_t2-cfr_port_10_extexternal_plus_linear_no_trem-104,jan19/jan19_9_base_dev1000_rho0_t2.json,104,cfr_port_10_extexternal_plus_linear_no_trem,cfr_external_linear,jan19_9_base,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.05,quasi_linear,base,0.0,2,1000,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jan19_jan19_9_base_dev1000_rho0_t2-cfr_port_10_extexternal_plus_linear-100,jan19/jan19_9_base_dev1000_rho0_t2.json,100,cfr_port_10_extexternal_plus_linear,cfr_external_linear,jan19_9_base,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.05,quasi_linear,base,0.0,2,1000,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jan19_jan19_15_base_dev1000_rho0_t4-cfr_port_10_extexternal_plus_linear_no_trem-102,jan19/jan19_15_base_dev1000_rho0_t4.json,102,cfr_port_10_extexternal_plus_linear_no_trem,cfr_external_linear,jan19_15_base,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.05,quasi_linear,base,0.0,4,1000,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jan19_jan19_15_base_dev1000_rho0_t4-cfr_port_10_extexternal_plus_linear_no_trem-103,jan19/jan19_15_base_dev1000_rho0_t4.json,103,cfr_port_10_extexternal_plus_linear_no_trem,cfr_external_linear,jan19_15_base,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.05,quasi_linear,base,0.0,4,1000,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jan19_jan19_3_base_dev1000_rho0_t1_tie_break-cfr_port_10_extexternal_plus_linear_no_trem-102,jan19/jan19_3_base_dev1000_rho0_t1_tie_break.json,102,cfr_port_10_extexternal_plus_linear_no_trem,cfr_external_linear,jan19_3_base,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_LICENSE,1,0.05,quasi_linear,tie_break,0.0,1,1000,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jan19_jan19_3_base_dev1000_rho0_t1_tie_break-cfr_port_10_extexternal_plus_linear_no_trem-103,jan19/jan19_3_base_dev1000_rho0_t1_tie_break.json,103,cfr_port_10_extexternal_plus_linear_no_trem,cfr_external_linear,jan19_3_base,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_LICENSE,1,0.05,quasi_linear,tie_break,0.0,1,1000,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jan19_jan19_5_base_dev1000_rho1_t2_tie_break-cfr_port_10_extexternal_plus_linear_no_trem-101,jan19/jan19_5_base_dev1000_rho1_t2_tie_break.json,101,cfr_port_10_extexternal_plus_linear_no_trem,cfr_external_linear,jan19_5_base,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_LICENSE,1,0.05,quasi_linear,tie_break,1.0,2,1000,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jan19_jan19_5_base_dev1000_rho1_t2_tie_break-cfr_port_10_extexternal_plus_linear_no_trem-100,jan19/jan19_5_base_dev1000_rho1_t2_tie_break.json,100,cfr_port_10_extexternal_plus_linear_no_trem,cfr_external_linear,jan19_5_base,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_LICENSE,1,0.05,quasi_linear,tie_break,1.0,2,1000,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jan19_jan19_12_base_dev1000_rho1_t3_tie_break-cfr_port_10_extexternal_plus_linear-101,jan19/jan19_12_base_dev1000_rho1_t3_tie_break.json,101,cfr_port_10_extexternal_plus_linear,cfr_external_linear,jan19_12_base,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_LICENSE,1,0.05,quasi_linear,tie_break,1.0,3,1000,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jan19_jan19_12_base_dev1000_rho1_t3_tie_break-cfr_port_10_extexternal_plus_linear-102,jan19/jan19_12_base_dev1000_rho1_t3_tie_break.json,102,cfr_port_10_extexternal_plus_linear,cfr_external_linear,jan19_12_base,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_LICENSE,1,0.05,quasi_linear,tie_break,1.0,3,1000,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jan19_jan19_9_base_dev1000_rho0_t2-cfr_port_10_extexternal_plus_linear-104,jan19/jan19_9_base_dev1000_rho0_t2.json,104,cfr_port_10_extexternal_plus_linear,cfr_external_linear,jan19_9_base,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.05,quasi_linear,base,0.0,2,1000,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jan19_jan19_9_base_dev1000_rho0_t2-cfr_port_10_extexternal_plus_linear-103,jan19/jan19_9_base_dev1000_rho0_t2.json,103,cfr_port_10_extexternal_plus_linear,cfr_external_linear,jan19_9_base,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.05,quasi_linear,base,0.0,2,1000,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jan19_jan19_9_base_dev1000_rho0_t2-cfr_port_10_extexternal_plus_linear-102,jan19/jan19_9_base_dev1000_rho0_t2.json,102,cfr_port_10_extexternal_plus_linear,cfr_external_linear,jan19_9_base,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.05,quasi_linear,base,0.0,2,1000,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jan19_jan19_9_base_dev1000_rho0_t2-cfr_port_10_extexternal_plus_linear-101,jan19/jan19_9_base_dev1000_rho0_t2.json,101,cfr_port_10_extexternal_plus_linear,cfr_external_linear,jan19_9_base,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.05,quasi_linear,base,0.0,2,1000,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jan19_jan19_18_base_dev1000_rho1_t4-cfr_port_10_extexternal_plus_linear_no_trem-103,jan19/jan19_18_base_dev1000_rho1_t4.json,103,cfr_port_10_extexternal_plus_linear_no_trem,cfr_external_linear,jan19_18_base,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.05,quasi_linear,base,1.0,4,1000,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jan19_jan19_18_base_dev1000_rho1_t4-cfr_port_10_extexternal_plus_linear_no_trem-102,jan19/jan19_18_base_dev1000_rho1_t4.json,102,cfr_port_10_extexternal_plus_linear_no_trem,cfr_external_linear,jan19_18_base,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.05,quasi_linear,base,1.0,4,1000,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jan19_jan19_4_base_dev1000_rho0_t1_tie_break-cfr_port_10_extexternal_plus_linear-103,jan19/jan19_4_base_dev1000_rho0_t1_tie_break.json,103,cfr_port_10_extexternal_plus_linear,cfr_external_linear,jan19_4_base,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_LICENSE,1,0.05,quasi_linear,tie_break,0.0,1,1000,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jan19_jan19_4_base_dev1000_rho0_t1_tie_break-cfr_port_10_extexternal_plus_linear-104,jan19/jan19_4_base_dev1000_rho0_t1_tie_break.json,104,cfr_port_10_extexternal_plus_linear,cfr_external_linear,jan19_4_base,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_LICENSE,1,0.05,quasi_linear,tie_break,0.0,1,1000,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jan19_jan19_16_base_dev1000_rho0_t4-cfr_port_10_extexternal_plus_linear-100,jan19/jan19_16_base_dev1000_rho0_t4.json,100,cfr_port_10_extexternal_plus_linear,cfr_external_linear,jan19_16_base,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.05,quasi_linear,base,0.0,4,1000,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jan19_jan19_16_base_dev1000_rho0_t4-cfr_port_10_extexternal_plus_linear_no_trem-104,jan19/jan19_16_base_dev1000_rho0_t4.json,104,cfr_port_10_extexternal_plus_linear_no_trem,cfr_external_linear,jan19_16_base,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.05,quasi_linear,base,0.0,4,1000,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jan19_jan19_12_base_dev1000_rho0_t3-cfr_port_10_extexternal_plus_linear_no_trem-100,jan19/jan19_12_base_dev1000_rho0_t3.json,100,cfr_port_10_extexternal_plus_linear_no_trem,cfr_external_linear,jan19_12_base,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.05,quasi_linear,base,0.0,3,1000,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jan19_jan19_12_base_dev1000_rho0_t3-cfr_port_10_extexternal_plus_linear_no_trem-101,jan19/jan19_12_base_dev1000_rho0_t3.json,101,cfr_port_10_extexternal_plus_linear_no_trem,cfr_external_linear,jan19_12_base,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.05,quasi_linear,base,0.0,3,1000,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jan19_jan19_11_base_dev1000_rho0_t3_tie_break-cfr_port_10_extexternal_plus_linear-101,jan19/jan19_11_base_dev1000_rho0_t3_tie_break.json,101,cfr_port_10_extexternal_plus_linear,cfr_external_linear,jan19_11_base,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_LICENSE,1,0.05,quasi_linear,tie_break,0.0,3,1000,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jan19_jan19_11_base_dev1000_rho0_t3_tie_break-cfr_port_10_extexternal_plus_linear-102,jan19/jan19_11_base_dev1000_rho0_t3_tie_break.json,102,cfr_port_10_extexternal_plus_linear,cfr_external_linear,jan19_11_base,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_LICENSE,1,0.05,quasi_linear,tie_break,0.0,3,1000,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jan19_jan19_15_base_dev1000_rho0_t4_tie_break-cfr_port_10_extexternal_plus_linear-101,jan19/jan19_15_base_dev1000_rho0_t4_tie_break.json,101,cfr_port_10_extexternal_plus_linear,cfr_external_linear,jan19_15_base,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_LICENSE,1,0.05,quasi_linear,tie_break,0.0,4,1000,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jan19_jan19_15_base_dev1000_rho0_t4_tie_break-cfr_port_10_extexternal_plus_linear-102,jan19/jan19_15_base_dev1000_rho0_t4_tie_break.json,102,cfr_port_10_extexternal_plus_linear,cfr_external_linear,jan19_15_base,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_LICENSE,1,0.05,quasi_linear,tie_break,0.0,4,1000,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jan19_jan19_12_base_dev1000_rho1_t3_tie_break-cfr_port_10_extexternal_plus_linear-100,jan19/jan19_12_base_dev1000_rho1_t3_tie_break.json,100,cfr_port_10_extexternal_plus_linear,cfr_external_linear,jan19_12_base,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_LICENSE,1,0.05,quasi_linear,tie_break,1.0,3,1000,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jan19_jan19_12_base_dev1000_rho1_t3_tie_break-cfr_port_10_extexternal_plus_linear_no_trem-104,jan19/jan19_12_base_dev1000_rho1_t3_tie_break.json,104,cfr_port_10_extexternal_plus_linear_no_trem,cfr_external_linear,jan19_12_base,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_LICENSE,1,0.05,quasi_linear,tie_break,1.0,3,1000,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jan19_jan19_8_base_dev1000_rho1_t2_tie_break-cfr_port_10_extexternal_plus_linear-103,jan19/jan19_8_base_dev1000_rho1_t2_tie_break.json,103,cfr_port_10_extexternal_plus_linear,cfr_external_linear,jan19_8_base,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_LICENSE,1,0.05,quasi_linear,tie_break,1.0,2,1000,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jan19_jan19_8_base_dev1000_rho1_t2_tie_break-cfr_port_10_extexternal_plus_linear-104,jan19/jan19_8_base_dev1000_rho1_t2_tie_break.json,104,cfr_port_10_extexternal_plus_linear,cfr_external_linear,jan19_8_base,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_LICENSE,1,0.05,quasi_linear,tie_break,1.0,2,1000,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jan19_jan19_4_base_dev1000_rho0_t1_tie_break-cfr_port_10_extexternal_plus_linear_no_trem-102,jan19/jan19_4_base_dev1000_rho0_t1_tie_break.json,102,cfr_port_10_extexternal_plus_linear_no_trem,cfr_external_linear,jan19_4_base,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_LICENSE,1,0.05,quasi_linear,tie_break,0.0,1,1000,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jan19_jan19_4_base_dev1000_rho0_t1_tie_break-cfr_port_10_extexternal_plus_linear_no_trem-103,jan19/jan19_4_base_dev1000_rho0_t1_tie_break.json,103,cfr_port_10_extexternal_plus_linear_no_trem,cfr_external_linear,jan19_4_base,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_LICENSE,1,0.05,quasi_linear,tie_break,0.0,1,1000,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jan19_jan19_13_base_dev1000_rho0_t3_tie_break-cfr_port_10_extexternal_plus_linear_no_trem-101,jan19/jan19_13_base_dev1000_rho0_t3_tie_break.json,101,cfr_port_10_extexternal_plus_linear_no_trem,cfr_external_linear,jan19_13_base,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_LICENSE,1,0.05,quasi_linear,tie_break,0.0,3,1000,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jan19_jan19_13_base_dev1000_rho0_t3_tie_break-cfr_port_10_extexternal_plus_linear_no_trem-100,jan19/jan19_13_base_dev1000_rho0_t3_tie_break.json,100,cfr_port_10_extexternal_plus_linear_no_trem,cfr_external_linear,jan19_13_base,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_LICENSE,1,0.05,quasi_linear,tie_break,0.0,3,1000,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jan19_jan19_13_base_dev1000_rho0_t3_tie_break-cfr_port_10_extexternal_plus_linear-102,jan19/jan19_13_base_dev1000_rho0_t3_tie_break.json,102,cfr_port_10_extexternal_plus_linear,cfr_external_linear,jan19_13_base,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_LICENSE,1,0.05,quasi_linear,tie_break,0.0,3,1000,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jan19_jan19_13_base_dev1000_rho0_t3_tie_break-cfr_port_10_extexternal_plus_linear-101,jan19/jan19_13_base_dev1000_rho0_t3_tie_break.json,101,cfr_port_10_extexternal_plus_linear,cfr_external_linear,jan19_13_base,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_LICENSE,1,0.05,quasi_linear,tie_break,0.0,3,1000,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jan19_jan19_15_base_dev1000_rho0_t4_tie_break-cfr_port_10_extexternal_plus_linear_no_trem-100,jan19/jan19_15_base_dev1000_rho0_t4_tie_break.json,100,cfr_port_10_extexternal_plus_linear_no_trem,cfr_external_linear,jan19_15_base,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_LICENSE,1,0.05,quasi_linear,tie_break,0.0,4,1000,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jan19_jan19_15_base_dev1000_rho0_t4_tie_break-cfr_port_10_extexternal_plus_linear_no_trem-101,jan19/jan19_15_base_dev1000_rho0_t4_tie_break.json,101,cfr_port_10_extexternal_plus_linear_no_trem,cfr_external_linear,jan19_15_base,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_LICENSE,1,0.05,quasi_linear,tie_break,0.0,4,1000,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jan19_jan19_13_base_dev1000_rho0_t3_tie_break-cfr_port_10_extexternal_plus_linear-104,jan19/jan19_13_base_dev1000_rho0_t3_tie_break.json,104,cfr_port_10_extexternal_plus_linear,cfr_external_linear,jan19_13_base,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_LICENSE,1,0.05,quasi_linear,tie_break,0.0,3,1000,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jan19_jan19_15_base_dev1000_rho0_t4-cfr_port_10_extexternal_plus_linear-103,jan19/jan19_15_base_dev1000_rho0_t4.json,103,cfr_port_10_extexternal_plus_linear,cfr_external_linear,jan19_15_base,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.05,quasi_linear,base,0.0,4,1000,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jan19_jan19_13_base_dev1000_rho0_t3_tie_break-cfr_port_10_extexternal_plus_linear-103,jan19/jan19_13_base_dev1000_rho0_t3_tie_break.json,103,cfr_port_10_extexternal_plus_linear,cfr_external_linear,jan19_13_base,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_LICENSE,1,0.05,quasi_linear,tie_break,0.0,3,1000,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jan19_jan19_15_base_dev1000_rho0_t4-cfr_port_10_extexternal_plus_linear-104,jan19/jan19_15_base_dev1000_rho0_t4.json,104,cfr_port_10_extexternal_plus_linear,cfr_external_linear,jan19_15_base,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.05,quasi_linear,base,0.0,4,1000,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jan19_jan19_8_base_dev1000_rho1_t2_tie_break-cfr_port_10_extexternal_plus_linear_no_trem-102,jan19/jan19_8_base_dev1000_rho1_t2_tie_break.json,102,cfr_port_10_extexternal_plus_linear_no_trem,cfr_external_linear,jan19_8_base,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_LICENSE,1,0.05,quasi_linear,tie_break,1.0,2,1000,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jan19_jan19_8_base_dev1000_rho1_t2_tie_break-cfr_port_10_extexternal_plus_linear_no_trem-103,jan19/jan19_8_base_dev1000_rho1_t2_tie_break.json,103,cfr_port_10_extexternal_plus_linear_no_trem,cfr_external_linear,jan19_8_base,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_LICENSE,1,0.05,quasi_linear,tie_break,1.0,2,1000,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jan19_jan19_8_base_dev1000_rho1_t2_tie_break-cfr_port_10_extexternal_plus_linear-100,jan19/jan19_8_base_dev1000_rho1_t2_tie_break.json,100,cfr_port_10_extexternal_plus_linear,cfr_external_linear,jan19_8_base,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_LICENSE,1,0.05,quasi_linear,tie_break,1.0,2,1000,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jan19_jan19_8_base_dev1000_rho1_t2_tie_break-cfr_port_10_extexternal_plus_linear_no_trem-104,jan19/jan19_8_base_dev1000_rho1_t2_tie_break.json,104,cfr_port_10_extexternal_plus_linear_no_trem,cfr_external_linear,jan19_8_base,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_LICENSE,1,0.05,quasi_linear,tie_break,1.0,2,1000,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jan19_jan19_18_base_dev1000_rho0_t4_tie_break-cfr_port_10_extexternal_plus_linear-100,jan19/jan19_18_base_dev1000_rho0_t4_tie_break.json,100,cfr_port_10_extexternal_plus_linear,cfr_external_linear,jan19_18_base,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_LICENSE,1,0.05,quasi_linear,tie_break,0.0,4,1000,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
